NGC7653;8.84;0.37;-0.40;0.10;0.19;0.99;8.52;0.07;0.79;0.02
NGC7671;9.40;0.58;-0.23;0.15;0.14;0.80;8.48;0.07;0.13;0.13
NGC7683;9.66;0.42;-0.21;0.17;0.19;0.58;nan;nan;1.88;1.46
UGC12688;8.44;0.51;-0.26;0.13;0.35;0.94;8.40;0.08;0.89;0.04
NGC7716;9.13;0.32;-0.37;0.15;0.09;0.74;8.48;0.05;0.61;0.01
NGC7738;9.37;0.37;-0.25;0.13;0.14;1.14;8.52;0.06;3.04;0.56
UGC12816;8.38;0.52;-0.23;0.10;0.18;0.74;8.38;0.08;0.67;0.02
NGC7783NED01;7.57;0.97;-0.13;0.19;0.15;0.14;nan;nan;nan;nan
UGC12864;8.77;0.28;-0.29;0.11;0.13;0.61;8.41;0.07;0.60;0.05
MCG-01-01-012;8.97;0.53;-0.23;0.17;1.25;2.20;nan;nan;2.91;0.25
NGC7800;8.49;0.40;-0.33;0.13;0.24;0.97;8.29;0.06;0.46;0.03
NGC5947;8.87;0.38;-0.26;0.10;0.03;0.31;8.49;0.07;0.52;0.02
NGC4676B;9.23;0.35;-0.25;0.12;0.15;0.71;8.49;0.05;1.36;0.09
